,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,COF,SCHW,BK,STT,AXP,FITB,HBAN,RF,KEY,CFG,MTB,SYF,ALLY,SOFI,ZION,CMA,WAL,FHN,WBS,EWBC,PNFP,CBSH,BOKF,FNB,ONB,SNV,VLY,WTFC,ASB,CFR,UMBF,PB,IBOC,HWC,SF,BOH,WSFS,TCBI,COLB,CATY
SCHW,0.7420756397976965,0.677204932414612,0.6789461094757573,0.6871451414430918,0.7025661018907372,0.7460330206089049,0.6240276261127551,0.5747750593468428,0.5809874769544721,0.637853339725864,1.0,0.7352404126166333,0.6923687884410586,0.6449873867557875,0.5367535862027802,0.5745133148050477,0.5872331848625824,0.6037762725433148,0.6144540973674915,0.5913979439944471,0.6107823251131258,0.522643687371337,0.5353079642501684,0.564084705320496,0.5035900467851439,0.5258745986554298,0.5925917293333463,0.5628786596327885,0.5939911092078515,0.5320146703245457,0.5391359584537033,0.5064671267085781,0.5893866057132623,0.5776762688344346,0.524547208306973,0.42976107861394713,0.5708309539447769,0.5475855003033104,0.5686318262335429,0.5166230160241301,0.45943076873532174,0.4467756219380692,0.5065616217083974,0.697052287913709,0.4522817912000392,0.468997469988398,0.5232510236348581,0.44246948061087543,0.43039522585049467
BK,0.7117416541182104,0.7068064393639424,0.7107067968308264,0.6753860720881022,0.7378927946933371,0.7499773029583771,0.6743126564532216,0.6386675210050158,0.6566643899863072,0.660053841530982,0.7352404126166333,1.0,0.8160380804269587,0.6804670295936233,0.622104120033566,0.6510979648370255,0.6582960521274279,0.6439509772133627,0.6498964569309731,0.6566316840047668,0.6402846054761772,0.5820447442603136,0.5932917188725199,0.5884952084279309,0.5230119185734575,0.5778767291512472,0.5850755178742904,0.5611770419693295,0.6074952779403788,0.5430033917785037,0.5742779468858094,0.5406465496135014,0.6307540149762778,0.5971257856594065,0.5514612837381967,0.5257412559703157,0.5925358067225209,0.6109969879377024,0.6439598998363062,0.5982616590001721,0.49578642513407806,0.5048836942517134,0.5742189702196463,0.6908714935279417,0.5466083862781129,0.5254653677618929,0.559843251377946,0.5422786111686978,0.5164684672672243
STT,0.7146478046189262,0.7571525695540913,0.7270056683026503,0.7794997462061745,0.7873344587502802,0.7928227771280376,0.7830264933843123,0.7107417174240647,0.7697440818722596,0.746769036975532,0.6923687884410586,0.8160380804269587,1.0,0.7316811285133235,0.7147693203668525,0.7422804961979209,0.7726405325810057,0.7689438914973016,0.762553365336579,0.7428317628832704,0.7294323447102539,0.6836991570576983,0.6109986860639752,0.709721713122056,0.6531782914260137,0.7241855961984383,0.7130218152890059,0.7042122110967335,0.7339814769167389,0.6463309467775724,0.6754262674752749,0.6796565657779894,0.7652921488033475,0.737643294691814,0.660527110299716,0.6893602954245222,0.7422325627120091,0.7687929045394667,0.7343727025770976,0.7473433209535382,0.6278775368436464,0.6627743647255724,0.726454463412209,0.7683955493269701,0.6806317753374239,0.6754564306886448,0.7088563856295733,0.6924197010198873,0.676062832360588
AXP,0.7238864853353537,0.7629432276887175,0.7711366499508135,0.7314386658810946,0.7499427729139324,0.7579827674526003,0.8043300543822167,0.7958508832479357,0.8405337051449282,0.842598686353133,0.6449873867557875,0.6804670295936233,0.7316811285133235,1.0,0.7678643067064878,0.779472978333044,0.7692655321523731,0.816384327681438,0.8235250302298613,0.7935185516752934,0.8733492552625547,0.7952452292351426,0.6311776678989586,0.7660181560312549,0.6985823009669017,0.8002633411853177,0.7718698030016763,0.7721198329847652,0.787523073871519,0.7240481944749555,0.7290258117015468,0.6727514203559531,0.7967450280016747,0.7773228226746248,0.7182862434493472,0.7131409641638898,0.7895638261191105,0.7988029923423445,0.7603987699004853,0.7675490812643339,0.662738813955808,0.7020877439682013,0.7651006939507171,0.8026718401938295,0.6803558632003116,0.6998147995894246,0.7242913255871773,0.7197892782871371,0.703880640291854
FITB,0.6444570269335786,0.7425541072512107,0.6910360884681367,0.6907772434318242,0.6618007522447513,0.6727915766809731,0.883354985650368,0.8837902485607447,0.8829825416002582,0.7341108325560828,0.5367535862027802,0.622104120033566,0.7147693203668525,0.7678643067064878,1.0,0.9158450939246808,0.9110193335135071,0.878366454453925,0.8953066699400876,0.8929974569689397,0.7706598033579614,0.7360424380411396,0.49243617053839855,0.8622580168196144,0.7689160893957606,0.8169338925910475,0.799422378095536,0.8091725658620958,0.8282769106461654,0.8059563051640971,0.8176822287085429,0.7972425168327357,0.8512648722028494,0.8542274604910289,0.7503266585232989,0.8040203029625745,0.8434519068676135,0.8516465973321724,0.8474052558669831,0.8557521324385152,0.7818900921630703,0.7839367875631162,0.8441247849185987,0.7210210760906307,0.7468033035991805,0.7703372658633023,0.7991810482427493,0.8081324788189972,0.8264498420786
HBAN,0.6932971742260452,0.7739761166535369,0.7338581003386807,0.722992716510809,0.703982458823376,0.7199058665209616,0.8703723683017229,0.896246625753944,0.8998960201337043,0.7779414586353117,0.5745133148050477,0.6510979648370255,0.7422804961979209,0.779472978333044,0.9158450939246808,1.0,0.9031800792743689,0.9012158226394056,0.8968828539984768,0.8971361103311087,0.8053137912437912,0.7539501599389822,0.5308876141427855,0.8698815993355121,0.7158892519227016,0.8447889688937618,0.8166032757972314,0.840289896986992,0.842359116197421,0.8159161563333979,0.8061201088921129,0.7788573280495851,0.8742108729306064,0.8624579857481539,0.7413746201623704,0.7967482137058197,0.8421356034861461,0.8547156280187055,0.8405903963893531,0.857882868411799,0.7582245334536158,0.780445301441805,0.8412762341980486,0.7463681069058591,0.7488194350950083,0.7716547542467505,0.8018071765881343,0.823266728270766,0.797635006772039
RF,0.6810385014064227,0.7508157049880171,0.731822496059461,0.725599056508802,0.7203908402550745,0.7114999579591487,0.8841431771221163,0.8814632220542995,0.8980898499206575,0.7758168520695906,0.5872331848625824,0.6582960521274279,0.7726405325810057,0.7692655321523731,0.9110193335135071,0.9031800792743689,1.0,0.9155085450651468,0.8988529250667134,0.9144268536155752,0.8000102238685176,0.7555178084561093,0.5327088741961812,0.8797277239465392,0.7621295337442597,0.8407239510076903,0.8254568301847658,0.8592710341339337,0.8593439634123753,0.7862290133068999,0.815712228696917,0.7976350061593558,0.9025516954690044,0.864943440429017,0.7913544997915378,0.842986683021272,0.8745199814562471,0.8809595886197922,0.8531190508387793,0.8691536851892849,0.7731287048029243,0.8034376082053482,0.8658518487023791,0.7617399560699618,0.7843124144823959,0.8014145993645906,0.8328675157225311,0.8422684652879998,0.8144463253799678
KEY,0.6692257496395002,0.7635462901021848,0.7717322955676126,0.7626542087303554,0.7417740211113366,0.750882014300846,0.8857024671462974,0.8840678897091094,0.9183633608947512,0.8111268792229688,0.6037762725433148,0.6439509772133627,0.7689438914973016,0.816384327681438,0.878366454453925,0.9012158226394056,0.9155085450651468,1.0,0.9302048704316074,0.8944244698600221,0.8381170335773789,0.7947789002032263,0.5895402524901986,0.8990929184096308,0.7843116939789655,0.8836479986071832,0.8677406606657265,0.8925349118465166,0.8909276525574474,0.8103473917762707,0.7987557197931885,0.7991379980977847,0.9027300003254017,0.8840833616003494,0.8262877185508829,0.8501772105696724,0.893508987175411,0.899820694273552,0.8508582670827342,0.8719544378558062,0.7664010654818615,0.7880061775658221,0.8630112628940992,0.8096516311102361,0.778752990167279,0.8001337003949646,0.8353107519556462,0.8341029709641666,0.8051664721306587
CFG,0.7040019798413065,0.787305406145396,0.782616208276213,0.7599686304274501,0.7345778415418155,0.7610302307507004,0.884613020860661,0.8773787823933051,0.9306504435773828,0.8172908761147551,0.6144540973674915,0.6498964569309731,0.762553365336579,0.8235250302298613,0.8953066699400876,0.8968828539984768,0.8988529250667134,0.9302048704316074,1.0,0.9045696526158947,0.8311530218099901,0.7842228697237446,0.5778497703286509,0.905591624906917,0.7869622643003255,0.8899249094770051,0.8679309068395344,0.8972820497046411,0.8768333335093892,0.8226224477438799,0.804307060216003,0.8162704754352559,0.9158070018081047,0.8990323685834984,0.7952821660542944,0.8639141479134383,0.8994780264515148,0.9017914014280055,0.8486570873280875,0.8728132941751632,0.7760645489914682,0.8172681561055063,0.8704749405302068,0.8079759194458301,0.784969654398063,0.8236953296464932,0.8542887520947986,0.8454138921008119,0.8435991150970199
MTB,0.6859201610139904,0.7646717058509266,0.7336202482109445,0.742222158192895,0.7022527816635662,0.7245284947062618,0.8952268033956484,0.894033707970866,0.9008425452740769,0.7665585978256433,0.5913979439944471,0.6566316840047668,0.7428317628832704,0.7935185516752934,0.8929974569689397,0.8971361103311087,0.9144268536155752,0.8944244698600221,0.9045696526158947,1.0,0.790665863030951,0.7247529591637342,0.5072880595906532,0.8512024647308009,0.7330314958207291,0.8280915723351764,0.8221266478143585,0.8295979769388196,0.8649012113095833,0.8034823134821162,0.8029807010192571,0.784719793989552,0.8693223775584896,0.8608532682304213,0.7843411816313257,0.8104970939298549,0.855459021182424,0.850586240266186,0.8458129928018768,0.8516959859054775,0.7762545848009357,0.8013699865723168,0.8594766112431067,0.7514299380456271,0.7735529709148801,0.8165161045356263,0.8204870099654008,0.8106610455039732,0.8186156497235272
SYF,0.7101641387066651,0.7596109628293637,0.7961285559665247,0.7464035290818167,0.7486661248301055,0.759410194061552,0.8178620847586101,0.7974449855188208,0.8254062198249035,0.8728321379975819,0.6107823251131258,0.6402846054761772,0.7294323447102539,0.8733492552625547,0.7706598033579614,0.8053137912437912,0.8000102238685176,0.8381170335773789,0.8311530218099901,0.790665863030951,1.0,0.7908747154614231,0.6493925849371318,0.7881988049604386,0.6951963396988903,0.8065723994472037,0.7916563596260948,0.8181243121177174,0.8066915074518918,0.7371297792924285,0.7016265877021017,0.6828989722533925,0.8249688745848518,0.780114093935012,0.7503769710357087,0.7332624705043918,0.8170237114204341,0.8131898648339321,0.7626957791164125,0.7650813140008816,0.626003859190412,0.7044122633406122,0.7810060206833195,0.8042754741227067,0.6701977589402677,0.6714151324646924,0.7252090426919534,0.7352687577596275,0.7146583575439056
ALLY,0.6019153012307414,0.6495236036084148,0.6957445221646882,0.677918528088249,0.6732530361529332,0.666791051885631,0.7507806668529804,0.7396241046807123,0.7796356454697027,0.7494228544978232,0.522643687371337,0.5820447442603136,0.6836991570576983,0.7952452292351426,0.7360424380411396,0.7539501599389822,0.7555178084561093,0.7947789002032263,0.7842228697237446,0.7247529591637342,0.7908747154614231,1.0,0.6298811881743763,0.7398257013527126,0.6890041155139937,0.7777146420630526,0.7236341904612185,0.743496231526778,0.7518765151627701,0.7056441357910496,0.6467916400118802,0.669510503088149,0.7760573146856596,0.7453473880216052,0.6999877275922834,0.74790505314855,0.7539996566669425,0.7867862138073011,0.7074113618737193,0.7444089244227079,0.6567634209283705,0.7043371772765387,0.7340410179725255,0.726689700695826,0.6689871309339873,0.6843093657885916,0.7253528757842836,0.6984693857046108,0.6996566486580652
SOFI,0.5664698070883092,0.5503176231129631,0.6414450043792651,0.5982453414081749,0.6825833805406054,0.6620210095849941,0.560777253972255,0.4979918749119414,0.5690193660166483,0.6179402625392699,0.5353079642501684,0.5932917188725199,0.6109986860639752,0.6311776678989586,0.49243617053839855,0.5308876141427855,0.5327088741961812,0.5895402524901986,0.5778497703286509,0.5072880595906532,0.6493925849371318,0.6298811881743763,1.0,0.5368611896609738,0.5046390797453348,0.5787782357470136,0.5724988187104841,0.5564884637236363,0.5303084293490602,0.5113946811578592,0.4107744420689517,0.47496971769538787,0.5660673217190029,0.5344940044674558,0.5289958640287592,0.5496988578870537,0.5738885907304759,0.5616711364734948,0.4907452369566204,0.5328359321183254,0.4026836446016467,0.42484991944840533,0.5249577435239838,0.6169701258359088,0.41979741730067427,0.4320298330785661,0.5163090172129252,0.49070384235088244,0.436688744165974
ZION,0.6452955326137563,0.7320271840580711,0.7167120768249854,0.7149632322154549,0.6506147698803746,0.6714818634380771,0.8334481992426588,0.8334306645081766,0.8947379293127777,0.7842861721322667,0.564084705320496,0.5884952084279309,0.709721713122056,0.7660181560312549,0.8622580168196144,0.8698815993355121,0.8797277239465392,0.8990929184096308,0.905591624906917,0.8512024647308009,0.7881988049604386,0.7398257013527126,0.5368611896609738,1.0,0.7639449602644324,0.886207129527271,0.8449567095039453,0.875111881880729,0.8714697968203792,0.8139541000214114,0.8407040949143828,0.8472591748344953,0.9227019405595032,0.8952485141166793,0.7878962302848925,0.8495552672675559,0.8821550113574471,0.8795327564907238,0.8354439439679532,0.8625139586448877,0.7954352841491861,0.8073227656006511,0.8721621750627798,0.7380664823016312,0.7689468476066876,0.8062530598337154,0.8571829278346647,0.8451454437567892,0.8207278279929443
