,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,COF,SCHW,BK,STT,AXP,CFG,FITB,MTB,HBAN,ALLY,KEY,RF,SYF,ZION,FHN,WAL,CMA,WBS,EWBC,WTFC,VLY,SNV,ONB,PNFP,CFR,COLB,UMBF,BOKF,FNB,ASB,SF,PB,SOFI,HWC,CBSH,TCBI,BOH,CATY,WSFS,IBOC
SCHW,9.027226277706589,7.128795512520706,4.882209617804505,3.8744751712194616,3.2845774487454755,2.248710677382141,1.1211817712293033,0.8892664921445184,0.8339047144656273,0.7561022133769917,0.7367551400300378,0.6186908378862537,0.5056567925042453,0.3643339448692924,0.2755890385992253,0.26823275487512727,0.26052809841217067,0.2543822119696934,0.23487561883671884,0.2275928053011388,0.18199185235787135,0.1270577288865149,0.08548474631549177,0.07693730197706153,0.0753838313091688,0.07331804840836635,0.07297695485755468,0.06914585944854698,0.0555673856586218,0.052724580566674166,0.05006492390246514,0.042376261064969625,0.041293762757703176,0.04121506189174477,0.04016130573140096,0.038857848523723065,0.03806028763525848,0.03688157887239897,0.030847286628202956,0.02759077368322058,0.02725106732662576,0.02388674000267788,0.02272524482479323,0.019732156535169614,0.01852676424268571,0.012114114730666047,0.011647358818975198,0.00979357673996247,0.005916199770124061
BK,7.580621954419472,5.986412892323198,4.099840225142706,3.253594253789019,2.7582270736296195,1.8883569554690858,0.941513471404313,0.7467623925998407,0.700272286514352,0.6349375613487946,0.6186908378862537,0.5195462265370672,0.4246257781446523,0.30594978083545726,0.2314261603879279,0.22524871405100025,0.21877872137134544,0.21361770731653343,0.19723702696016127,0.19112127728474848,0.1528278331647231,0.10669685011158177,0.07178589798812826,0.06460817337895361,0.06330364489054552,0.06156890171150717,0.061282468073947924,0.05806530201722449,0.04666276558434281,0.04427551727249164,0.04204206802909423,0.035585506011812526,0.03467647701649961,0.034610387888570085,0.03372549513879662,0.03263091569421448,0.03196116317056146,0.030971341352572263,0.025904038633164088,0.02316937875357854,0.022884110013697924,0.02005891290561657,0.0190835462121762,0.016570097440445516,0.015557868102774255,0.010172839503583804,0.009780880777540035,0.00822416549262713,0.004968134450655187
STT,6.1956517664865505,4.8927027141377115,3.3508045231577914,2.6591666366064213,2.2543024231859436,1.543356492020867,0.7695001330169529,0.6103298337096984,0.5723334120935563,0.5189352598286346,0.505656792504245,0.4246257781446521,0.34704717743164537,0.2500531369967962,0.18914488917136207,0.1840960545849798,0.17880812150826328,0.1745900182922183,0.1612020678316309,0.15620365800355998,0.12490637842232827,0.08720346850788131,0.05867070384899971,0.05280434058466877,0.0517381478260488,0.050320340064860615,0.050086237496074625,0.04745684367030832,0.038137536439636535,0.03618643542057834,0.034361034571754066,0.029084078392125564,0.028341127861883846,0.02828711313530018,0.027563889188604238,0.026669288045035603,0.02612189847314691,0.025312915868288686,0.021171403043404965,0.01893636211726877,0.018703211620806622,0.016394174505039074,0.015597006091481276,0.013542761279356327,0.01271546498074903,0.008314274398529853,0.007993926043473426,0.006721620701922352,0.004060462475298532
AXP,4.464067886720803,3.5252718985269462,2.4143091687979195,1.9159728201841413,1.62426156820754,1.1120134593522233,0.554437363831433,0.43975257384682886,0.4123755339582374,0.37390129658655874,0.3643339448692923,0.3059497808354572,0.2500531369967963,0.18016735299411515,0.13628196959915043,0.13264420214676573,0.12883416034251413,0.12579494835654126,0.11614871225860629,0.11254727666487947,0.08999707759203386,0.06283151765927238,0.04227319656026292,0.03804638639610984,0.03727817716902659,0.036256623612627645,0.036087948903508374,0.03419342787786951,0.02747871541453192,0.026072915390386083,0.02475768438374571,0.020955551612414844,0.020420243669283782,0.02038132518008521,0.019860230561304905,0.01921565588426602,0.018821252792954147,0.018238367665872304,0.01525434030268014,0.013643956956437081,0.013475968230915167,0.011812269426295345,0.011237896616235112,0.009757779811273024,0.00916169936992341,0.005990569958212741,0.005759753757065564,0.004843037061004007,0.0029256292678137537
CFG,3.3767047909423376,2.666581873573293,1.8262287993752966,1.449277825831533,1.2286219560918927,0.8411478658191519,0.4193868351097797,0.33263710602496993,0.3119285988742121,0.2828259631263867,0.2755890385992252,0.2314261603879278,0.1891448891713621,0.1362819695991504,0.10308624137043519,0.10033456574710038,0.09745257856846058,0.09515366154162687,0.08785706738736887,0.08513287386428586,0.06807547976136694,0.04752694002108766,0.03197623982782739,0.02877900123426651,0.028197913346859036,0.027425191050597007,0.02729760233267269,0.025864551047129855,0.020785416428187535,0.019722042887036686,0.018727177451739546,0.015851172814143683,0.015446255832128889,0.01541681715595553,0.015022651399425723,0.014535083007701255,0.014236749101992317,0.01379584384447122,0.011538669502753101,0.010320545294407523,0.010193475467359972,0.008935022444959476,0.008500556063906721,0.007380967913973569,0.006930081472913907,0.00453137962765873,0.004356785918060529,0.003663364191940285,0.002213000925576133
FITB,3.2865705874161373,2.5954029437608193,1.7774813700087027,1.4105923289915638,1.1958264147865956,0.8186951500422971,0.4081921643605359,0.3237580412351653,0.30360230517747333,0.27527650455621266,0.2682327548751273,0.22524871405100025,0.18409605458497993,0.13264420214676578,0.10033456574710042,0.09765634045656846,0.09485128201022892,0.09261372985477584,0.08551190330481423,0.08286042653627634,0.06625834455771698,0.046258305908822635,0.03112269973857379,0.028010804866764032,0.027445227927796783,0.026693131867179445,0.026568948868197412,0.025174149945307388,0.02023059239982104,0.01919560343271989,0.01822729388820325,0.015428058291253967,0.015033949736960196,0.01500529686582282,0.014621652555117184,0.014147098800849479,0.01385672830640707,0.013427592109753769,0.011230668404116207,0.01004505952124703,0.009921381562414865,0.00869652036040491,0.008273651167628768,0.0071839481253432496,0.006745097172359031,0.004410423749398526,0.0042404904605150805,0.003565578204088267,0.0021539294081711767
MTB,3.1921678835812273,2.5208531816561397,1.726425400607807,1.3700747967117297,1.1614777696349288,0.7951791373096199,0.3964673457464455,0.31445848911298707,0.29488170181997847,0.2673695250342058,0.2605280984121707,0.2187787213713455,0.17880812150826342,0.12883416034251421,0.09745257856846067,0.09485128201022897,0.0921267954228245,0.08995351420506406,0.08305567890088611,0.08048036254620448,0.06435515498320332,0.044929592882138936,0.030228738410856406,0.027206228897472737,0.02665689746148346,0.02592640443654645,0.025805788441699097,0.024451053404894767,0.01964949347864236,0.01864423329853509,0.01770373725648863,0.014984906264276805,0.014602117994194258,0.014574288141591264,0.014201663542551084,0.01374074076206785,0.013458710803469765,0.013041901017036471,0.010908081246767065,0.00975652752299354,0.009636402061637997,0.008446723493384623,0.008036000698838723,0.0069775980381615475,0.006551352539842098,0.0042837397437072745,0.0041186875798492825,0.003463161349118057,0.0020920604311957733
HBAN,3.116864292769402,2.4613859783600667,1.6856988358794316,1.3377545818496503,1.1340783815415005,0.7764207741652336,0.38711463753585895,0.3070403788333663,0.2879254101017515,0.2610622485866588,0.2543822119696935,0.2136177073165335,0.17459001829221849,0.12579494835654134,0.09515366154162695,0.09261372985477587,0.08995351420506409,0.08783150092981476,0.08109638631771095,0.07858182195855606,0.06283700981220125,0.04386969885365108,0.0295156391532149,0.026564430971064895,0.026028058323956552,0.02531479770967177,0.025197027059384168,0.02387425037082169,0.019185959770347764,0.018204413788247303,0.017286104151080953,0.014631410680450332,0.014257652427681764,0.014230479084356856,0.013866644740514987,0.013416595179023738,0.013141218338110404,0.012734241140296705,0.010650758412659996,0.00952636996764856,0.009409078279113841,0.008247464358889204,0.007846430560156043,0.0068129957344363334,0.006396805414215731,0.004182685852881649,0.004021527287688594,0.0033814649927043894,0.0020427084959561905
ALLY,2.877856214574875,2.2726414334828546,1.5564357043042318,1.235172588643999,1.047114731849407,0.7168831043558576,0.3574298271406629,0.28349584048329335,0.26584665001860214,0.24104341540595628,0.234875618836719,0.19723702696016138,0.16120206783163113,0.11614871225860639,0.08785706738736895,0.08551190330481427,0.08305567890088614,0.08109638631771096,0.0748777352563601,0.07255599327845945,0.05801852830514774,0.0405056728874556,0.027252314372903416,0.024527411390374693,0.024032168989417544,0.02337360278356996,0.023264863048378107,0.0220435198148901,0.01771473775286496,0.0168084588972113,0.015960567283080408,0.013509441605273781,0.013164343965644767,0.013139254334652562,0.012803319616567435,0.012387780855252453,0.012133520522259808,0.011757751240088796,0.009834034596538307,0.0087958667553593,0.008687569254069084,0.007615030469813945,0.0072447488336785,0.006290560086207228,0.005906284164322751,0.003861948209697183,0.0037131476413026204,0.003122166745018975,0.0018860690705366375
KEY,2.7886222178886126,2.2021733965053953,1.5081751352817512,1.1968734595478974,1.0146467329136817,0.6946546329560179,0.34634696210761856,0.2747054545139956,0.25760351439331575,0.23356935633981976,0.22759280530113873,0.19112127728474843,0.15620365800356004,0.11254727666487946,0.08513287386428588,0.08286042653627632,0.08048036254620446,0.07858182195855601,0.07255599327845941,0.07030624180338967,0.05621954156762299,0.039249709138499504,0.026407298934630768,0.023766887311497245,0.023287000944848583,0.022648854972066385,0.02254348694152073,0.021360014028828426,0.017165454977050295,0.016287277207195385,0.015465676259395383,0.013090552898696638,0.012756155738638194,0.012731844064528434,0.012406325710321594,0.012003671604001677,0.011757295148458089,0.011393177384771644,0.009529109629767609,0.00852313237032454,0.008418192861286446,0.0073789104022901585,0.0070201101286093606,0.006095508014097269,0.005723147376988448,0.00374220036684064,0.0035980136736493583,0.003025357385479746,0.0018275875243294409
